quiz_id,user_id,score,guessed_words,ended_at,created_at,id
7ca06908-1bd4-4410-a6de-6fa6cbbc8864,8,400,"[{""word"":""policy"",""part_of_speech"":""3333""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""dangerous"",""part_of_speech"":""1111""},{""word"":""uncertain"",""part_of_speech"":""1111""},{""word"":""violent"",""part_of_speech"":""1111""},{""word"":""difficult"",""part_of_speech"":""1111""},{""word"":""divided"",""part_of_speech"":""1111""},{""word"":""spoke"",""part_of_speech"":""6666""},{""word"":""iran"",""part_of_speech"":""5555""}]",1773756251543,1773756169902,167
5c0112cf-03bd-417d-875d-aabe6573f0b3,8,600,"[{""word"":""american"",""part_of_speech"":""1111""},{""word"":""us"",""part_of_speech"":""1111""},{""word"":""man"",""part_of_speech"":""1111""},{""word"":""human"",""part_of_speech"":""1111""},{""word"":""only"",""part_of_speech"":""1111""},{""word"":""first"",""part_of_speech"":""1111""},{""word"":""2028"",""part_of_speech"":""4444""},{""word"":""2027"",""part_of_speech"":""4444""},{""word"":""2030"",""part_of_speech"":""4444""},{""word"":""2029"",""part_of_speech"":""4444""},{""word"":""2031"",""part_of_speech"":""4444""},{""word"":""next"",""part_of_speech"":""4444""},{""word"":""15"",""part_of_speech"":""4444""},{""word"":""1"",""part_of_speech"":""4444""},{""word"":""on"",""part_of_speech"":""2222""},{""word"":""preparing"",""part_of_speech"":""6666""},{""word"":""prepping"",""part_of_speech"":""6666""},{""word"":""working"",""part_of_speech"":""6666""},{""word"":""press"",""part_of_speech"":""3333""},{""word"":""march"",""part_of_speech"":""5555""},{""word"":""april"",""part_of_speech"":""5555""}]",1773756160867,1773756004343,166
a2867a06-52cf-4d38-b4fb-687de99145af,6,0,[],1773755660609,1773755659823,165
002fda55-233c-43c8-8e26-44f4984bafd7,6,0,[],1773755659769,1773755658220,164
c03300f1-b085-4275-ae19-0f4098b05989,6,0,[],1773755658183,1773755656506,163
2420e6e0-5e2f-4dab-998c-a50b382c89cf,6,500,"[{""word"":""by"",""part_of_speech"":""2222""},{""word"":""to"",""part_of_speech"":""2222""},{""word"":""towards"",""part_of_speech"":""2222""},{""word"":""on"",""part_of_speech"":""2222""},{""word"":""wounded"",""part_of_speech"":""6666""},{""word"":""head"",""part_of_speech"":""3333""},{""word"":""director"",""part_of_speech"":""3333""},{""word"":""five"",""part_of_speech"":""4444""},{""word"":""six"",""part_of_speech"":""4444""},{""word"":""seven"",""part_of_speech"":""4444""},{""word"":""eight"",""part_of_speech"":""4444""},{""word"":""nine"",""part_of_speech"":""4444""},{""word"":""ten"",""part_of_speech"":""4444""},{""word"":""four"",""part_of_speech"":""4444""},{""word"":""three"",""part_of_speech"":""4444""},{""word"":""explosive"",""part_of_speech"":""1111""},{""word"":""khartum"",""part_of_speech"":""5555""}]",1773755656334,1773755493932,162
e245a91a-121b-4c59-875c-cd2b5eddfc44,6,400,"[{""word"":""of"",""part_of_speech"":""2222""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""at"",""part_of_speech"":""2222""},{""word"":""after"",""part_of_speech"":""2222""},{""word"":""to"",""part_of_speech"":""2222""},{""word"":""from"",""part_of_speech"":""2222""},{""word"":""between"",""part_of_speech"":""2222""},{""word"":""beyond"",""part_of_speech"":""2222""},{""word"":""below"",""part_of_speech"":""2222""},{""word"":""under"",""part_of_speech"":""2222""},{""word"":""pulled"",""part_of_speech"":""6666""},{""word"":""2"",""part_of_speech"":""4444""},{""word"":""1"",""part_of_speech"":""4444""},{""word"":""3"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""five"",""part_of_speech"":""4444""},{""word"":""one"",""part_of_speech"":""4444""},{""word"":""two"",""part_of_speech"":""4444""},{""word"":""three"",""part_of_speech"":""4444""},{""word"":""cover"",""part_of_speech"":""3333""},{""word"":""young"",""part_of_speech"":""1111""}]",1773755490190,1773755310063,161
c03300f1-b085-4275-ae19-0f4098b05989,6,400,"[{""word"":""10"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""6"",""part_of_speech"":""4444""},{""word"":""7"",""part_of_speech"":""4444""},{""word"":""8"",""part_of_speech"":""4444""},{""word"":""9"",""part_of_speech"":""4444""},{""word"":""lamp"",""part_of_speech"":""3333""},{""word"":""window"",""part_of_speech"":""3333""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""able"",""part_of_speech"":""1111""},{""word"":""putting"",""part_of_speech"":""6666""},{""word"":""getting"",""part_of_speech"":""6666""},{""word"":""donning"",""part_of_speech"":""6666""},{""word"":""making"",""part_of_speech"":""6666""},{""word"":""shedding"",""part_of_speech"":""6666""}]",1773755303824,1773755123835,160
09a4b28e-1a01-4cc4-9c0f-984c35179ea9,6,100,"[{""word"":""middle"",""part_of_speech"":""1111""},{""word"":""first"",""part_of_speech"":""1111""},{""word"":""lower"",""part_of_speech"":""1111""},{""word"":""40"",""part_of_speech"":""4444""},{""word"":""50"",""part_of_speech"":""4444""},{""word"":""20"",""part_of_speech"":""4444""},{""word"":""lives in"",""part_of_speech"":""6666""},{""word"":""with"",""part_of_speech"":""2222""}]",1773755123720,1773755119752,159
3556a812-5f08-4313-9f79-8994aed00d5c,6,200,"[{""word"":""cut"",""part_of_speech"":""6666""},{""word"":""it"",""part_of_speech"":""3333""},{""word"":""they"",""part_of_speech"":""3333""},{""word"":""plans"",""part_of_speech"":""3333""},{""word"":""projects"",""part_of_speech"":""3333""},{""word"":""policy"",""part_of_speech"":""1111""},{""word"":""political"",""part_of_speech"":""1111""},{""word"":""1.5"",""part_of_speech"":""4444""},{""word"":""in"",""part_of_speech"":""2222""}]",1773754905308,1773754887919,158
cf9239ba-57da-4678-bd9f-b3fb3a78ac60,6,100,"[{""word"":""western"",""part_of_speech"":""1111""}]",1773739780043,1773739600420,157
2420e6e0-5e2f-4dab-998c-a50b382c89cf,6,0,[],1773739600310,1773739597960,156
81e320a6-5992-40ee-8331-73d053cae50b,6,0,[],1773739450903,1773739448927,155
5d504405-ea8e-41b9-a007-0b6f17c7f08b,6,0,[],1773739448878,1773739442922,154
2420e6e0-5e2f-4dab-998c-a50b382c89cf,6,100,"[{""word"":""killed"",""part_of_speech"":""6666""},{""word"":""injured"",""part_of_speech"":""6666""},{""word"":""shot"",""part_of_speech"":""6666""},{""word"":""wounded"",""part_of_speech"":""6666""}]",1773739442805,1773739357714,153
5c0112cf-03bd-417d-875d-aabe6573f0b3,1,0,[],1773682905238,1773682899140,152
