id,user_id,score,created_at,ended_at,adj_correct,adj_guesses,adj_score_before_guess,func_correct,func_guesses,func_score_before_guess,noun_correct,noun_guesses,noun_score_before_guess,num_correct,num_guesses,num_score_before_guess,propn_correct,propn_guesses,propn_score_before_guess,verb_correct,verb_guesses,verb_score_before_guess,guessed_words
183,1,300,1773787342760,1773787523884,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""to"", ""part_of_speech"": ""2222""}, {""word"": ""found"", ""part_of_speech"": ""6666""}, {""word"": ""known"", ""part_of_speech"": ""6666""}, {""word"": ""discovered"", ""part_of_speech"": ""6666""}, {""word"": ""aony"", ""part_of_speech"": ""1111""}, {""word"": ""lost"", ""part_of_speech"": ""1111""}, {""word"": ""similar"", ""part_of_speech"": ""1111""}, {""word"": ""terrible"", ""part_of_speech"": ""1111""}, {""word"": ""horrible"", ""part_of_speech"": ""1111""}, {""word"": ""comparable"", ""part_of_speech"": ""1111""}, {""word"": ""same"", ""part_of_speech"": ""1111""}, {""word"": ""related"", ""part_of_speech"": ""1111""}, {""word"": ""susipicious"", ""part_of_speech"": ""1111""}, {""word"": ""area"", ""part_of_speech"": ""3333""}, {""word"": ""place"", ""part_of_speech"": ""3333""}, {""word"": ""circumstances"", ""part_of_speech"": ""3333""}, {""word"": ""9"", ""part_of_speech"": ""4444""}]"
182,1,400,1773787329062,1773787330619,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""list"", ""part_of_speech"": ""3333""}, {""word"": ""earners"", ""part_of_speech"": ""3333""}, {""word"": ""firms"", ""part_of_speech"": ""3333""}, {""word"": ""companies"", ""part_of_speech"": ""3333""}, {""word"": ""corporations"", ""part_of_speech"": ""3333""}, {""word"": ""businesses"", ""part_of_speech"": ""3333""}, {""word"": ""on"", ""part_of_speech"": ""1111""}, {""word"": ""out"", ""part_of_speech"": ""1111""}, {""word"": ""in"", ""part_of_speech"": ""1111""}, {""word"": ""the"", ""part_of_speech"": ""1111""}, {""word"": ""annual"", ""part_of_speech"": ""1111""}, {""word"": ""monthly"", ""part_of_speech"": ""1111""}, {""word"": ""seasonal"", ""part_of_speech"": ""1111""}, {""word"": ""most"", ""part_of_speech"": ""1111""}, {""word"": ""many"", ""part_of_speech"": ""1111""}, {""word"": ""2"", ""part_of_speech"": ""4444""}, {""word"": ""3"", ""part_of_speech"": ""4444""}, {""word"": ""4"", ""part_of_speech"": ""4444""}, {""word"": ""5"", ""part_of_speech"": ""4444""}, {""word"": ""6"", ""part_of_speech"": ""4444""}, {""word"": ""7"", ""part_of_speech"": ""4444""}, {""word"": ""8"", ""part_of_speech"": ""4444""}, {""word"": ""seven"", ""part_of_speech"": ""4444""}, {""word"": ""six"", ""part_of_speech"": ""4444""}, {""word"": ""five"", ""part_of_speech"": ""4444""}, {""word"": ""four"", ""part_of_speech"": ""4444""}, {""word"": ""tree"", ""part_of_speech"": ""4444""}, {""word"": ""three"", ""part_of_speech"": ""4444""}, {""word"": ""two"", ""part_of_speech"": ""4444""}, {""word"": ""one"", ""part_of_speech"": ""4444""}, {""word"": ""eight"", ""part_of_speech"": ""4444""}, {""word"": ""nine"", ""part_of_speech"": ""4444""}, {""word"": ""move"", ""part_of_speech"": ""6666""}, {""word"": ""of"", ""part_of_speech"": ""2222""}, {""word"": ""from"", ""part_of_speech"": ""2222""}, {""word"": ""at"", ""part_of_speech"": ""2222""}]"
181,1,400,1773786881440,1773787062662,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""list"", ""part_of_speech"": ""3333""}, {""word"": ""earners"", ""part_of_speech"": ""3333""}, {""word"": ""firms"", ""part_of_speech"": ""3333""}, {""word"": ""companies"", ""part_of_speech"": ""3333""}, {""word"": ""corporations"", ""part_of_speech"": ""3333""}, {""word"": ""businesses"", ""part_of_speech"": ""3333""}, {""word"": ""on"", ""part_of_speech"": ""1111""}, {""word"": ""out"", ""part_of_speech"": ""1111""}, {""word"": ""in"", ""part_of_speech"": ""1111""}, {""word"": ""the"", ""part_of_speech"": ""1111""}, {""word"": ""annual"", ""part_of_speech"": ""1111""}, {""word"": ""monthly"", ""part_of_speech"": ""1111""}, {""word"": ""seasonal"", ""part_of_speech"": ""1111""}, {""word"": ""most"", ""part_of_speech"": ""1111""}, {""word"": ""many"", ""part_of_speech"": ""1111""}, {""word"": ""2"", ""part_of_speech"": ""4444""}, {""word"": ""3"", ""part_of_speech"": ""4444""}, {""word"": ""4"", ""part_of_speech"": ""4444""}, {""word"": ""5"", ""part_of_speech"": ""4444""}, {""word"": ""6"", ""part_of_speech"": ""4444""}, {""word"": ""7"", ""part_of_speech"": ""4444""}, {""word"": ""8"", ""part_of_speech"": ""4444""}, {""word"": ""seven"", ""part_of_speech"": ""4444""}, {""word"": ""six"", ""part_of_speech"": ""4444""}, {""word"": ""five"", ""part_of_speech"": ""4444""}, {""word"": ""four"", ""part_of_speech"": ""4444""}, {""word"": ""tree"", ""part_of_speech"": ""4444""}, {""word"": ""three"", ""part_of_speech"": ""4444""}, {""word"": ""two"", ""part_of_speech"": ""4444""}, {""word"": ""one"", ""part_of_speech"": ""4444""}, {""word"": ""eight"", ""part_of_speech"": ""4444""}, {""word"": ""nine"", ""part_of_speech"": ""4444""}, {""word"": ""move"", ""part_of_speech"": ""6666""}, {""word"": ""of"", ""part_of_speech"": ""2222""}, {""word"": ""from"", ""part_of_speech"": ""2222""}, {""word"": ""at"", ""part_of_speech"": ""2222""}]"
180,1,0,1773763579483,1773763579548,0,,,0,,,0,,,0,,,0,,,0,,,[]
179,1,0,1773763579296,1773763579363,0,,,0,,,0,,,0,,,0,,,0,,,[]
178,1,0,1773763579114,1773763579183,0,,,0,,,0,,,0,,,0,,,0,,,[]
177,1,0,1773763578928,1773763578992,0,,,0,,,0,,,0,,,0,,,0,,,[]
176,1,0,1773763578450,1773763578808,0,,,0,,,0,,,0,,,0,,,0,,,[]
175,1,0,1773763577806,1773763578105,0,,,0,,,0,,,0,,,0,,,0,,,[]
174,1,0,1773763574938,1773763575058,0,,,0,,,0,,,0,,,0,,,0,,,[]
